Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2024-10-04,1:00 PM,New Jersey Devils,4,Buffalo Sabres,1,,16913,2:27,at O2 Arena (Prague CZ)
2024-10-05,10:00 AM,Buffalo Sabres,1,New Jersey Devils,3,,16722,2:26,at O2 Arena (Prague CZ)
2024-10-08,7:00 PM,Boston Bruins,4,Florida Panthers,6,,19813,2:39,
2024-10-08,4:30 PM,St. Louis Blues,3,Seattle Kraken,2,,17151,2:37,
2024-10-08,10:00 PM,Chicago Blackhawks,2,Utah Hockey Club,5,,11131,2:30,
2024-10-09,10:00 PM,Winnipeg Jets,6,Edmonton Oilers,0,,18347,2:18,
2024-10-09,7:00 PM,Toronto Maple Leafs,0,Montreal Canadiens,1,,21105,2:18,
2024-10-09,7:30 PM,New York Rangers,6,Pittsburgh Penguins,0,,18190,2:29,
2024-10-09,10:00 PM,Calgary Flames,6,Vancouver Canucks,5,OT,18850,2:44,
2024-10-09,10:00 PM,Colorado Avalanche,4,Vegas Golden Knights,8,,18388,2:27,
2024-10-10,7:00 PM,Montreal Canadiens,4,Boston Bruins,6,,17850,2:44,
2024-10-10,7:00 PM,Los Angeles Kings,3,Buffalo Sabres,1,,19070,2:38,
2024-10-10,8:00 PM,Pittsburgh Penguins,6,Detroit Red Wings,3,,19515,2:36,
2024-10-10,8:00 PM,Columbus Blue Jackets,2,Minnesota Wild,3,,18613,2:29,
2024-10-10,7:00 PM,Toronto Maple Leafs,4,New Jersey Devils,2,,16764,2:24,
2024-10-10,8:00 PM,Dallas Stars,4,Nashville Predators,3,,17544,2:32,
2024-10-10,7:30 PM,Utah Hockey Club,5,New York Islanders,4,OT,17255,2:41,
2024-10-10,7:00 PM,Florida Panthers,1,Ottawa Senators,3,,19346,2:22,
2024-10-10,10:30 PM,St. Louis Blues,5,San Jose Sharks,4,OT,17435,2:32,
2024-10-11,7:00 PM,Tampa Bay Lightning,4,Carolina Hurricanes,1,,18817,2:35,
2024-10-11,10:00 PM,Philadelphia Flyers,3,Vancouver Canucks,2,SO,18875,2:47,
2024-10-11,10:00 PM,St. Louis Blues,3,Vegas Golden Knights,4,,17861,2:25,
2024-10-11,8:00 PM,Chicago Blackhawks,1,Winnipeg Jets,2,OT,14564,2:26,
2024-10-12,1:00 PM,Los Angeles Kings,1,Boston Bruins,2,OT,17850,2:28,
2024-10-12,7:00 PM,Florida Panthers,2,Buffalo Sabres,5,,16644,2:27,
2024-10-12,10:00 PM,Philadelphia Flyers,3,Calgary Flames,6,,19289,2:38,
2024-10-12,9:00 PM,Columbus Blue Jackets,6,Colorado Avalanche,4,,18080,2:35,
2024-10-12,8:00 PM,New York Islanders,0,Dallas Stars,3,,18532,2:25,
2024-10-12,7:00 PM,Nashville Predators,0,Detroit Red Wings,3,,19515,2:37,
2024-10-12,10:00 PM,Chicago Blackhawks,5,Edmonton Oilers,2,,18347,2:28,
2024-10-12,8:00 PM,Seattle Kraken,5,Minnesota Wild,4,SO,18421,2:43,
2024-10-12,7:00 PM,Ottawa Senators,1,Montreal Canadiens,4,,21105,2:31,
2024-10-12,7:00 PM,Utah Hockey Club,6,New York Rangers,5,OT,18006,2:45,
2024-10-12,10:00 PM,Anaheim Ducks,2,San Jose Sharks,0,,17016,2:28,
2024-10-12,7:00 PM,Pittsburgh Penguins,2,Toronto Maple Leafs,4,,18934,2:21,
2024-10-12,7:00 PM,New Jersey Devils,5,Washington Capitals,3,,18573,2:31,
2024-10-13,8:00 PM,Seattle Kraken,0,Dallas Stars,2,,18532,2:23,
2024-10-13,8:00 PM,Calgary Flames,4,Edmonton Oilers,1,,18347,2:29,
2024-10-13,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,3,,18027,2:19,
2024-10-13,6:00 PM,Minnesota Wild,1,Winnipeg Jets,2,OT,12916,2:28,
2024-10-14,1:00 PM,Florida Panthers,4,Boston Bruins,3,,17850,2:36,
2024-10-14,9:00 PM,New York Islanders,6,Colorado Avalanche,2,,18017,2:41,
2024-10-14,7:30 PM,Pittsburgh Penguins,6,Montreal Canadiens,3,,21105,2:22,
2024-10-14,1:00 PM,Utah Hockey Club,0,New Jersey Devils,3,,16514,2:20,
2024-10-14,7:00 PM,Detroit Red Wings,1,New York Rangers,4,,17510,2:35,
2024-10-14,1:00 PM,Los Angeles Kings,7,Ottawa Senators,8,OT,16788,2:49,
2024-10-15,7:00 PM,New Jersey Devils,2,Carolina Hurricanes,4,,18700,2:24,
2024-10-15,7:00 PM,Florida Panthers,4,Columbus Blue Jackets,3,,18484,2:27,
2024-10-15,9:00 PM,Chicago Blackhawks,1,Calgary Flames,3,,16242,2:27,
2024-10-15,8:00 PM,San Jose Sharks,2,Dallas Stars,3,SO,18532,2:36,
2024-10-15,10:00 PM,Philadelphia Flyers,3,Edmonton Oilers,4,OT,18347,2:46,
2024-10-15,8:00 PM,Seattle Kraken,7,Nashville Predators,3,,17159,2:34,
2024-10-15,7:30 PM,Minnesota Wild,4,St. Louis Blues,1,,18096,2:25,
2024-10-15,7:00 PM,Vancouver Canucks,1,Tampa Bay Lightning,4,,19092,2:28,
2024-10-15,7:00 PM,Vegas Golden Knights,2,Washington Capitals,4,,16727,2:28,
2024-10-16,10:00 PM,Utah Hockey Club,4,Anaheim Ducks,5,OT,17245,2:44,
2024-10-16,9:30 PM,Boston Bruins,5,Colorado Avalanche,3,,18024,2:34,
2024-10-16,7:00 PM,Buffalo Sabres,5,Pittsburgh Penguins,6,OT,15644,2:42,
